"기준년월","발신지(시/도)","발신지(시/군/구)","발신지(읍/면/동)","통화량"
"201309","서울특별시","강남구","압구정동","5"
"201309","서울특별시","강남구","일원2동","8"
"201309","서울특별시","강남구","대치3동","39"
"201309","서울특별시","강남구","일원동","55"
"201309","서울특별시","강남구","압구정1동","82"
"201309","서울특별시","강남구","대치1동","87"
"201309","서울특별시","강남구","세곡동","91"
"201309","서울특별시","강남구","개포2동","95"
"201309","서울특별시","강남구","개포4동","104"
"201309","서울특별시","강남구","도곡2동","114"
"201309","서울특별시","강남구","대치4동","126"
"201309","서울특별시","강남구","일원1동","156"
"201309","서울특별시","강남구","수서동","166"
"201309","서울특별시","강남구","개포동","171"
"201309","서울특별시","강남구","대치동","209"
"201309","서울특별시","강남구","대치2동","227"
"201309","서울특별시","강남구","논현1동","261"
"201309","서울특별시","강남구","도곡동","278"
"201309","서울특별시","강남구","논현2동","298"
"201309","서울특별시","강남구","삼성동","342"
"201309","서울특별시","강남구","역삼2동","569"
"201309","서울특별시","강남구","삼성1동","618"
"201309","서울특별시","강남구","청담동","626"
"201309","서울특별시","강남구","삼성2동","713"
"201309","서울특별시","강남구","역삼1동","941"
"201309","서울특별시","강남구","논현동","960"
"201309","서울특별시","강남구","역삼동","1712"
"201309","서울특별시","강남구","신사동","1737"
"201309","서울특별시","강동구","암사3동","5"
"201309","서울특별시","강동구","천호3동","6"
"201309","서울특별시","강동구","성내3동","9"
"201309","서울특별시","강동구","고덕2동","18"
"201309","서울특별시","강동구","둔촌동","21"
"201309","서울특별시","강동구","천호2동","46"
"201309","서울특별시","강동구","고덕동","48"
"201309","서울특별시","강동구","길2동","74"
"201309","서울특별시","강동구","암사동","153"
"201309","서울특별시","강동구","명일동","161"
"201309","서울특별시","강동구","길동","293"
"201309","서울특별시","강동구","성내동","299"
"201309","서울특별시","강동구","강일동","328"
"201309","서울특별시","강동구","천호동","355"
"201309","서울특별시","강동구","상일동","682"
"201309","서울특별시","강북구","수유3동","5"
"201309","서울특별시","강북구","수유5동","14"
"201309","서울특별시","강북구","미아5동","15"
"201309","서울특별시","강북구","수유동","16"
"201309","서울특별시","강북구","미아3동","32"
"201309","서울특별시","강북구","미아1동","35"
"201309","서울특별시","강북구","우이동","95"
"201309","서울특별시","강북구","번동","107"
"201309","서울특별시","강북구","미아8동","108"
"201309","서울특별시","강북구","수유1동","113"
"201309","서울특별시","강북구","수유2동","113"
"201309","서울특별시","강북구","번1동","181"
"201309","서울특별시","강북구","미아동","211"
"201309","서울특별시","강서구","가양동","8"
"201309","서울특별시","강서구","화곡3동","23"
"201309","서울특별시","강서구","등촌2동","33"
"201309","서울특별시","강서구","화곡1동","33"
"201309","서울특별시","강서구","개화동","35"
"201309","서울특별시","강서구","방화3동","41"
"201309","서울특별시","강서구","화곡4동","49"
"201309","서울특별시","강서구","방화1동","51"
"201309","서울특별시","강서구","화곡8동","86"
"201309","서울특별시","강서구","화곡본동","87"
"201309","서울특별시","강서구","등촌3동","104"
"201309","서울특별시","강서구","등촌동","133"
"201309","서울특별시","강서구","외발산동","147"
"201309","서울특별시","강서구","가양2동","203"
"201309","서울특별시","강서구","화곡6동","218"
"201309","서울특별시","강서구","내발산동","238"
"201309","서울특별시","강서구","방화동","254"
"201309","서울특별시","강서구","염창동","297"
"201309","서울특별시","강서구","화곡동","347"
"201309","서울특별시","강서구","방화2동","358"
"201309","서울특별시","강서구","과해동","583"
"201309","서울특별시","관악구","낙성대동","6"
"201309","서울특별시","관악구","신림4동","16"
"201309","서울특별시","관악구","난향동","27"
"201309","서울특별시","관악구","미성동","28"
"201309","서울특별시","관악구","봉천2동","29"
"201309","서울특별시","관악구","서원동","36"
"201309","서울특별시","관악구","삼성동","40"
"201309","서울특별시","관악구","조원동","40"
"201309","서울특별시","관악구","난곡동","45"
"201309","서울특별시","관악구","봉천4동","45"
"201309","서울특별시","관악구","청룡동","46"
"201309","서울특별시","관악구","대학동","55"
"201309","서울특별시","관악구","은천동","58"
"201309","서울특별시","관악구","남현동","91"
"201309","서울특별시","관악구","신사동","117"
"201309","서울특별시","관악구","보라매동","146"
"201309","서울특별시","관악구","봉천동","276"
"201309","서울특별시","관악구","신림동","291"
"201309","서울특별시","광진구","구의3동","19"
"201309","서울특별시","광진구","모진동","25"
"201309","서울특별시","광진구","중곡3동","41"
"201309","서울특별시","광진구","능동","47"
"201309","서울특별시","광진구","중곡1동","51"
"201309","서울특별시","광진구","중곡2동","54"
"201309","서울특별시","광진구","군자동","96"
"201309","서울특별시","광진구","화양동","101"
"201309","서울특별시","광진구","광장동","104"
"201309","서울특별시","광진구","자양3동","118"
"201309","서울특별시","광진구","중곡동","124"
"201309","서울특별시","광진구","구의동","207"
"201309","서울특별시","광진구","자양동","309"
"201309","서울특별시","구로구","구로4동","8"
"201309","서울특별시","구로구","개봉3동","53"
"201309","서울특별시","구로구","구로본동","67"
"201309","서울특별시","구로구","개봉동","74"
"201309","서울특별시","구로구","개봉본동","94"
"201309","서울특별시","구로구","궁동","111"
"201309","서울특별시","구로구","가리봉동","114"
"201309","서울특별시","구로구","구로5동","119"
"201309","서울특별시","구로구","온수동","144"
"201309","서울특별시","구로구","고척2동","169"
"201309","서울특별시","구로구","고척동","177"
"201309","서울특별시","구로구","구로3동","183"
"201309","서울특별시","구로구","신도림동","183"
"201309","서울특별시","구로구","구로동","184"
"201309","서울특별시","구로구","구로2동","224"
"201309","서울특별시","구로구","오류동","325"
"201309","서울특별시","금천구","시흥2동","23"
"201309","서울특별시","금천구","시흥4동","26"
"201309","서울특별시","금천구","독산4동","27"
"201309","서울특별시","금천구","독산본동","36"
"201309","서울특별시","금천구","시흥3동","49"
"201309","서울특별시","금천구","독산1동","53"
"201309","서울특별시","금천구","독산동","134"
"201309","서울특별시","금천구","시흥동","155"
"201309","서울특별시","금천구","가산동","916"
"201309","서울특별시","노원구","상계9동","5"
"201309","서울특별시","노원구","하계1동","5"
"201309","서울특별시","노원구","중계본동","9"
"201309","서울특별시","노원구","중계2.3동","43"
"201309","서울특별시","노원구","월계동","54"
"201309","서울특별시","노원구","월계1동","66"
"201309","서울특별시","노원구","공릉2동","72"
"201309","서울특별시","노원구","상계3동","75"
"201309","서울특별시","노원구","중계동","75"
"201309","서울특별시","노원구","공릉1동","86"
"201309","서울특별시","노원구","상계5동","90"
"201309","서울특별시","노원구","중계1동","98"
"201309","서울특별시","노원구","하계동","126"
"201309","서울특별시","노원구","공릉동","174"
"201309","서울특별시","노원구","상계1동","180"
"201309","서울특별시","노원구","상계2동","193"
"201309","서울특별시","노원구","월계2동","204"
"201309","서울특별시","노원구","상계동","480"
"201309","서울특별시","도봉구","쌍문2동","22"
"201309","서울특별시","도봉구","방학1동","25"
"201309","서울특별시","도봉구","도봉동","33"
"201309","서울특별시","도봉구","쌍문동","47"
"201309","서울특별시","도봉구","쌍문3동","48"
"201309","서울특별시","도봉구","방학동","59"
"201309","서울특별시","도봉구","창5동","68"
"201309","서울특별시","도봉구","방학3동","83"
"201309","서울특별시","도봉구","창동","85"
"201309","서울특별시","도봉구","창3동","103"
"201309","서울특별시","도봉구","쌍문1동","122"
"201309","서울특별시","도봉구","방학2동","145"
"201309","서울특별시","도봉구","창4동","193"
"201309","서울특별시","도봉구","도봉1동","262"
"201309","서울특별시","도봉구","창1동","2881"
"201309","서울특별시","동대문구","청량리1동","7"
"201309","서울특별시","동대문구","이문1동","12"
"201309","서울특별시","동대문구","이문2동","16"
"201309","서울특별시","동대문구","전농1동","17"
"201309","서울특별시","동대문구","전농2동","17"
"201309","서울특별시","동대문구","답십리4동","18"
"201309","서울특별시","동대문구","휘경2동","19"
"201309","서울특별시","동대문구","회기동","28"
"201309","서울특별시","동대문구","전농4동","47"
"201309","서울특별시","동대문구","답십리동","63"
"201309","서울특별시","동대문구","제기동","64"
"201309","서울특별시","동대문구","전농동","84"
"201309","서울특별시","동대문구","신설동","90"
"201309","서울특별시","동대문구","휘경1동","114"
"201309","서울특별시","동대문구","장안동","129"
"201309","서울특별시","동대문구","장안2동","143"
"201309","서울특별시","동대문구","장안1동","168"
"201309","서울특별시","동대문구","용두동","170"
"201309","서울특별시","동작구","노량진2동","19"
"201309","서울특별시","동작구","동작동","20"
"201309","서울특별시","동작구","본동","35"
"201309","서울특별시","동작구","상도5동","47"
"201309","서울특별시","동작구","사당2동","52"
"201309","서울특별시","동작구","사당동","54"
"201309","서울특별시","동작구","상도1동","65"
"201309","서울특별시","동작구","사당5동","70"
"201309","서울특별시","동작구","대방동","83"
"201309","서울특별시","동작구","상도동","83"
"201309","서울특별시","동작구","노량진동","106"
"201309","서울특별시","동작구","흑석1동","106"
"201309","서울특별시","동작구","신대방동","127"
"201309","서울특별시","동작구","사당1동","323"
"201309","서울특별시","마포구","아현2동","5"
"201309","서울특별시","마포구","용강동","5"
"201309","서울특별시","마포구","공덕2동","8"
"201309","서울특별시","마포구","망원1동","29"
"201309","서울특별시","마포구","상수동","63"
"201309","서울특별시","마포구","아현동","66"
"201309","서울특별시","마포구","신수동","67"
"201309","서울특별시","마포구","성산1동","71"
"201309","서울특별시","마포구","연남동","71"
"201309","서울특별시","마포구","창전동","76"
"201309","서울특별시","마포구","성산동","80"
"201309","서울특별시","마포구","망원2동","97"
"201309","서울특별시","마포구","대흥동","128"
"201309","서울특별시","마포구","상암동","224"
"201309","서울특별시","마포구","신공덕동","262"
"201309","서울특별시","마포구","합정동","274"
"201309","서울특별시","마포구","마포동","317"
"201309","서울특별시","마포구","서교동","420"
"201309","서울특별시","마포구","동교동","448"
"201309","서울특별시","서대문구","충정로3가","5"
"201309","서울특별시","서대문구","현저동","5"
