"일자"	"요일"	"시간대"	"업종"	"이용건수"
"20131101"	"금"	"00"	"음식점-족발/보쌈전문"	"53"
"20131101"	"금"	"00"	"음식점-중국음식"	"124"
"20131101"	"금"	"00"	"치킨"	"544"
"20131101"	"금"	"00"	"피자"	"23"
"20131101"	"금"	"01"	"음식점-족발/보쌈전문"	"27"
"20131101"	"금"	"01"	"음식점-중국음식"	"131"
"20131101"	"금"	"01"	"치킨"	"227"
"20131101"	"금"	"01"	"피자"	"10"
"20131101"	"금"	"02"	"음식점-족발/보쌈전문"	"17"
"20131101"	"금"	"02"	"음식점-중국음식"	"128"
"20131101"	"금"	"02"	"치킨"	"74"
"20131101"	"금"	"02"	"피자"	"7"
"20131101"	"금"	"03"	"음식점-족발/보쌈전문"	"8"
"20131101"	"금"	"03"	"음식점-중국음식"	"97"
"20131101"	"금"	"03"	"치킨"	"38"
"20131101"	"금"	"03"	"피자"	"7"
"20131101"	"금"	"04"	"음식점-족발/보쌈전문"	"6"
"20131101"	"금"	"04"	"음식점-중국음식"	"84"
"20131101"	"금"	"04"	"치킨"	"16"
"20131101"	"금"	"04"	"피자"	"6"
"20131101"	"금"	"05"	"음식점-족발/보쌈전문"	"6"
"20131101"	"금"	"05"	"음식점-중국음식"	"55"
"20131101"	"금"	"05"	"치킨"	"16"
"20131101"	"금"	"05"	"피자"	"6"
"20131101"	"금"	"06"	"음식점-중국음식"	"51"
"20131101"	"금"	"06"	"치킨"	"7"
"20131101"	"금"	"07"	"음식점-족발/보쌈전문"	"10"
"20131101"	"금"	"07"	"음식점-중국음식"	"51"
"20131101"	"금"	"08"	"음식점-족발/보쌈전문"	"9"
"20131101"	"금"	"08"	"음식점-중국음식"	"80"
"20131101"	"금"	"08"	"치킨"	"6"
"20131101"	"금"	"08"	"피자"	"8"
"20131101"	"금"	"09"	"음식점-족발/보쌈전문"	"15"
"20131101"	"금"	"09"	"음식점-중국음식"	"174"
"20131101"	"금"	"09"	"치킨"	"10"
"20131101"	"금"	"09"	"피자"	"13"
"20131101"	"금"	"10"	"음식점-족발/보쌈전문"	"42"
"20131101"	"금"	"10"	"음식점-중국음식"	"495"
"20131101"	"금"	"10"	"치킨"	"22"
"20131101"	"금"	"10"	"피자"	"69"
"20131101"	"금"	"11"	"음식점-족발/보쌈전문"	"63"
"20131101"	"금"	"11"	"음식점-중국음식"	"1578"
"20131101"	"금"	"11"	"치킨"	"74"
"20131101"	"금"	"11"	"피자"	"215"
"20131101"	"금"	"12"	"음식점-족발/보쌈전문"	"88"
"20131101"	"금"	"12"	"음식점-중국음식"	"2196"
"20131101"	"금"	"12"	"치킨"	"215"
"20131101"	"금"	"12"	"피자"	"209"
"20131101"	"금"	"13"	"음식점-족발/보쌈전문"	"77"
"20131101"	"금"	"13"	"음식점-중국음식"	"1596"
"20131101"	"금"	"13"	"치킨"	"276"
"20131101"	"금"	"13"	"피자"	"222"
"20131101"	"금"	"14"	"음식점-족발/보쌈전문"	"65"
"20131101"	"금"	"14"	"음식점-중국음식"	"1121"
"20131101"	"금"	"14"	"치킨"	"283"
"20131101"	"금"	"14"	"피자"	"196"
"20131101"	"금"	"15"	"음식점-족발/보쌈전문"	"72"
"20131101"	"금"	"15"	"음식점-중국음식"	"933"
"20131101"	"금"	"15"	"치킨"	"415"
"20131101"	"금"	"15"	"피자"	"290"
"20131101"	"금"	"16"	"음식점-족발/보쌈전문"	"106"
"20131101"	"금"	"16"	"음식점-중국음식"	"954"
"20131101"	"금"	"16"	"치킨"	"705"
"20131101"	"금"	"16"	"피자"	"392"
"20131101"	"금"	"17"	"음식점-족발/보쌈전문"	"236"
"20131101"	"금"	"17"	"음식점-중국음식"	"1310"
"20131101"	"금"	"17"	"치킨"	"1550"
"20131101"	"금"	"17"	"피자"	"562"
"20131101"	"금"	"18"	"음식점-족발/보쌈전문"	"454"
"20131101"	"금"	"18"	"음식점-중국음식"	"1873"
"20131101"	"금"	"18"	"치킨"	"2996"
"20131101"	"금"	"18"	"피자"	"724"
"20131101"	"금"	"19"	"음식점-족발/보쌈전문"	"463"
"20131101"	"금"	"19"	"음식점-중국음식"	"1733"
"20131101"	"금"	"19"	"치킨"	"3673"
"20131101"	"금"	"19"	"피자"	"781"
"20131101"	"금"	"20"	"음식점-족발/보쌈전문"	"401"
"20131101"	"금"	"20"	"음식점-중국음식"	"1089"
"20131101"	"금"	"20"	"치킨"	"3170"
"20131101"	"금"	"20"	"피자"	"630"
"20131101"	"금"	"21"	"음식점-족발/보쌈전문"	"294"
"20131101"	"금"	"21"	"음식점-중국음식"	"416"
"20131101"	"금"	"21"	"치킨"	"3150"
"20131101"	"금"	"21"	"피자"	"567"
