"date"	"weekday"	"time"	"type"	"freq"
2013-08-01	"목"	"00"	"족발/보쌈전문"	115
2013-08-01	"목"	"01"	"족발/보쌈전문"	75
2013-08-01	"목"	"02"	"족발/보쌈전문"	38
2013-08-01	"목"	"03"	"족발/보쌈전문"	20
2013-08-01	"목"	"04"	"족발/보쌈전문"	22
2013-08-01	"목"	"05"	"족발/보쌈전문"	17
2013-08-01	"목"	"06"	"족발/보쌈전문"	9
2013-08-01	"목"	"07"	"족발/보쌈전문"	13
2013-08-01	"목"	"08"	"족발/보쌈전문"	9
2013-08-01	"목"	"09"	"족발/보쌈전문"	18
2013-08-01	"목"	"10"	"족발/보쌈전문"	34
2013-08-01	"목"	"11"	"족발/보쌈전문"	77
2013-08-01	"목"	"12"	"족발/보쌈전문"	91
2013-08-01	"목"	"13"	"족발/보쌈전문"	93
2013-08-01	"목"	"14"	"족발/보쌈전문"	77
2013-08-01	"목"	"15"	"족발/보쌈전문"	97
2013-08-01	"목"	"16"	"족발/보쌈전문"	121
2013-08-01	"목"	"17"	"족발/보쌈전문"	206
2013-08-01	"목"	"18"	"족발/보쌈전문"	373
2013-08-01	"목"	"19"	"족발/보쌈전문"	450
2013-08-01	"목"	"20"	"족발/보쌈전문"	366
2013-08-01	"목"	"21"	"족발/보쌈전문"	277
2013-08-01	"목"	"22"	"족발/보쌈전문"	213
2013-08-01	"목"	"23"	"족발/보쌈전문"	178
2013-08-01	"목"	"00"	"중국음식"	256
2013-08-01	"목"	"01"	"중국음식"	226
2013-08-01	"목"	"02"	"중국음식"	210
2013-08-01	"목"	"03"	"중국음식"	156
2013-08-01	"목"	"04"	"중국음식"	144
2013-08-01	"목"	"05"	"중국음식"	120
2013-08-01	"목"	"06"	"중국음식"	91
2013-08-01	"목"	"07"	"중국음식"	101
2013-08-01	"목"	"08"	"중국음식"	147
2013-08-01	"목"	"09"	"중국음식"	317
2013-08-01	"목"	"10"	"중국음식"	915
2013-08-01	"목"	"11"	"중국음식"	2992
2013-08-01	"목"	"12"	"중국음식"	4399
2013-08-01	"목"	"13"	"중국음식"	3449
2013-08-01	"목"	"14"	"중국음식"	2249
2013-08-01	"목"	"15"	"중국음식"	1703
2013-08-01	"목"	"16"	"중국음식"	1513
2013-08-01	"목"	"17"	"중국음식"	1779
2013-08-01	"목"	"18"	"중국음식"	2599
2013-08-01	"목"	"19"	"중국음식"	2942
2013-08-01	"목"	"20"	"중국음식"	1760
2013-08-01	"목"	"21"	"중국음식"	631
2013-08-01	"목"	"22"	"중국음식"	347
2013-08-01	"목"	"23"	"중국음식"	264
2013-08-01	"목"	"00"	"치킨"	864
2013-08-01	"목"	"01"	"치킨"	306
2013-08-01	"목"	"02"	"치킨"	125
2013-08-01	"목"	"03"	"치킨"	55
2013-08-01	"목"	"04"	"치킨"	25
2013-08-01	"목"	"05"	"치킨"	14
2013-08-01	"목"	"07"	"치킨"	8
2013-08-01	"목"	"08"	"치킨"	14
2013-08-01	"목"	"09"	"치킨"	18
2013-08-01	"목"	"10"	"치킨"	37
2013-08-01	"목"	"11"	"치킨"	239
2013-08-01	"목"	"12"	"치킨"	509
2013-08-01	"목"	"13"	"치킨"	510
2013-08-01	"목"	"14"	"치킨"	528
2013-08-01	"목"	"15"	"치킨"	625
2013-08-01	"목"	"16"	"치킨"	851
2013-08-01	"목"	"17"	"치킨"	1270
2013-08-01	"목"	"18"	"치킨"	2226
2013-08-01	"목"	"19"	"치킨"	3005
2013-08-01	"목"	"20"	"치킨"	3040
2013-08-01	"목"	"21"	"치킨"	2999
2013-08-01	"목"	"22"	"치킨"	2695
2013-08-01	"목"	"23"	"치킨"	1943
2013-08-01	"목"	"00"	"피자전문"	55
2013-08-01	"목"	"01"	"피자전문"	28
2013-08-01	"목"	"02"	"피자전문"	26
2013-08-01	"목"	"03"	"피자전문"	13
2013-08-01	"목"	"04"	"피자전문"	10
2013-08-01	"목"	"05"	"피자전문"	10
2013-08-01	"목"	"09"	"피자전문"	20
2013-08-01	"목"	"10"	"피자전문"	105
2013-08-01	"목"	"11"	"피자전문"	355
2013-08-01	"목"	"12"	"피자전문"	514
2013-08-01	"목"	"13"	"피자전문"	404
2013-08-01	"목"	"14"	"피자전문"	385
2013-08-01	"목"	"15"	"피자전문"	368
2013-08-01	"목"	"16"	"피자전문"	407
2013-08-01	"목"	"17"	"피자전문"	554
2013-08-01	"목"	"18"	"피자전문"	761
2013-08-01	"목"	"19"	"피자전문"	838
2013-08-01	"목"	"20"	"피자전문"	643
2013-08-01	"목"	"21"	"피자전문"	548
2013-08-01	"목"	"22"	"피자전문"	415
2013-08-01	"목"	"23"	"피자전문"	165
2013-08-02	"금"	"00"	"족발/보쌈전문"	79
2013-08-02	"금"	"01"	"족발/보쌈전문"	67
2013-08-02	"금"	"02"	"족발/보쌈전문"	30
2013-08-02	"금"	"03"	"족발/보쌈전문"	18
2013-08-02	"금"	"04"	"족발/보쌈전문"	17
2013-08-02	"금"	"05"	"족발/보쌈전문"	6
2013-08-02	"금"	"06"	"족발/보쌈전문"	6
2013-08-02	"금"	"07"	"족발/보쌈전문"	7
2013-08-02	"금"	"08"	"족발/보쌈전문"	14
2013-08-02	"금"	"09"	"족발/보쌈전문"	12
2013-08-02	"금"	"10"	"족발/보쌈전문"	31
2013-08-02	"금"	"11"	"족발/보쌈전문"	78
2013-08-02	"금"	"12"	"족발/보쌈전문"	94
2013-08-02	"금"	"13"	"족발/보쌈전문"	96
2013-08-02	"금"	"14"	"족발/보쌈전문"	68
2013-08-02	"금"	"15"	"족발/보쌈전문"	104
2013-08-02	"금"	"16"	"족발/보쌈전문"	134
2013-08-02	"금"	"17"	"족발/보쌈전문"	257
2013-08-02	"금"	"18"	"족발/보쌈전문"	436
2013-08-02	"금"	"19"	"족발/보쌈전문"	537
2013-08-02	"금"	"20"	"족발/보쌈전문"	474
2013-08-02	"금"	"21"	"족발/보쌈전문"	378
2013-08-02	"금"	"22"	"족발/보쌈전문"	261
2013-08-02	"금"	"23"	"족발/보쌈전문"	185
2013-08-02	"금"	"00"	"중국음식"	237
2013-08-02	"금"	"01"	"중국음식"	215
2013-08-02	"금"	"02"	"중국음식"	203
2013-08-02	"금"	"03"	"중국음식"	214
2013-08-02	"금"	"04"	"중국음식"	137
2013-08-02	"금"	"05"	"중국음식"	131
2013-08-02	"금"	"06"	"중국음식"	112
2013-08-02	"금"	"07"	"중국음식"	86
2013-08-02	"금"	"08"	"중국음식"	156
2013-08-02	"금"	"09"	"중국음식"	270
2013-08-02	"금"	"10"	"중국음식"	812
2013-08-02	"금"	"11"	"중국음식"	2990
2013-08-02	"금"	"12"	"중국음식"	4284
2013-08-02	"금"	"13"	"중국음식"	3466
2013-08-02	"금"	"14"	"중국음식"	2310
2013-08-02	"금"	"15"	"중국음식"	1766
2013-08-02	"금"	"16"	"중국음식"	1576
2013-08-02	"금"	"17"	"중국음식"	1914
2013-08-02	"금"	"18"	"중국음식"	2881
2013-08-02	"금"	"19"	"중국음식"	3116
2013-08-02	"금"	"20"	"중국음식"	1969
2013-08-02	"금"	"21"	"중국음식"	707
2013-08-02	"금"	"22"	"중국음식"	363
2013-08-02	"금"	"23"	"중국음식"	284
2013-08-02	"금"	"00"	"치킨"	964
2013-08-02	"금"	"01"	"치킨"	353
2013-08-02	"금"	"02"	"치킨"	110
2013-08-02	"금"	"03"	"치킨"	53
2013-08-02	"금"	"04"	"치킨"	30
2013-08-02	"금"	"05"	"치킨"	23
2013-08-02	"금"	"06"	"치킨"	11
2013-08-02	"금"	"09"	"치킨"	20
2013-08-02	"금"	"10"	"치킨"	39
2013-08-02	"금"	"11"	"치킨"	198
2013-08-02	"금"	"12"	"치킨"	514
2013-08-02	"금"	"13"	"치킨"	516
