"기준년월","발신지(시/도)","발신지(시/군/구)","발신지(읍/면/동)","통화량"
"201310","서울특별시","강남구","일원2동","5"
"201310","서울특별시","강남구","대치3동","28"
"201310","서울특별시","강남구","일원동","29"
"201310","서울특별시","강남구","압구정1동","31"
"201310","서울특별시","강남구","개포2동","34"
"201310","서울특별시","강남구","대치1동","40"
"201310","서울특별시","강남구","도곡2동","53"
"201310","서울특별시","강남구","개포4동","60"
"201310","서울특별시","강남구","대치4동","65"
"201310","서울특별시","강남구","세곡동","70"
"201310","서울특별시","강남구","수서동","83"
"201310","서울특별시","강남구","논현1동","91"
"201310","서울특별시","강남구","개포동","93"
"201310","서울특별시","강남구","대치동","101"
"201310","서울특별시","강남구","일원1동","109"
"201310","서울특별시","강남구","대치2동","126"
"201310","서울특별시","강남구","도곡동","149"
"201310","서울특별시","강남구","논현2동","168"
"201310","서울특별시","강남구","삼성동","182"
"201310","서울특별시","강남구","청담동","271"
"201310","서울특별시","강남구","역삼2동","288"
"201310","서울특별시","강남구","삼성1동","294"
"201310","서울특별시","강남구","삼성2동","337"
"201310","서울특별시","강남구","논현동","402"
"201310","서울특별시","강남구","역삼1동","444"
"201310","서울특별시","강남구","신사동","720"
"201310","서울특별시","강남구","역삼동","885"
"201310","서울특별시","강동구","성내3동","5"
"201310","서울특별시","강동구","천호3동","5"
"201310","서울특별시","강동구","암사3동","6"
"201310","서울특별시","강동구","고덕2동","13"
"201310","서울특별시","강동구","둔촌동","15"
"201310","서울특별시","강동구","천호2동","25"
"201310","서울특별시","강동구","길2동","37"
"201310","서울특별시","강동구","고덕동","42"
"201310","서울특별시","강동구","암사동","73"
"201310","서울특별시","강동구","명일동","92"
"201310","서울특별시","강동구","성내동","136"
"201310","서울특별시","강동구","길동","148"
"201310","서울특별시","강동구","천호동","176"
"201310","서울특별시","강동구","강일동","224"
"201310","서울특별시","강동구","상일동","411"
"201310","서울특별시","강북구","미아5동","5"
"201310","서울특별시","강북구","송중동","5"
"201310","서울특별시","강북구","수유5동","5"
"201310","서울특별시","강북구","수유3동","5"
"201310","서울특별시","강북구","수유동","5"
"201310","서울특별시","강북구","미아1동","5"
"201310","서울특별시","강북구","미아3동","5"
"201310","서울특별시","강북구","우이동","6"
"201310","서울특별시","강북구","수유2동","10"
"201310","서울특별시","강북구","번동","18"
"201310","서울특별시","강북구","수유1동","21"
"201310","서울특별시","강북구","미아8동","27"
"201310","서울특별시","강북구","번1동","38"
"201310","서울특별시","강북구","미아동","44"
"201310","서울특별시","강서구","가양동","5"
"201310","서울특별시","강서구","등촌3동","8"
"201310","서울특별시","강서구","화곡4동","13"
"201310","서울특별시","강서구","화곡3동","14"
"201310","서울특별시","강서구","등촌2동","15"
"201310","서울특별시","강서구","화곡1동","17"
"201310","서울특별시","강서구","개화동","21"
"201310","서울특별시","강서구","방화3동","21"
"201310","서울특별시","강서구","방화1동","31"
"201310","서울특별시","강서구","화곡8동","41"
"201310","서울특별시","강서구","화곡본동","46"
"201310","서울특별시","강서구","등촌동","61"
"201310","서울특별시","강서구","외발산동","76"
"201310","서울특별시","강서구","화곡6동","99"
"201310","서울특별시","강서구","내발산동","105"
"201310","서울특별시","강서구","가양2동","108"
"201310","서울특별시","강서구","방화동","119"
"201310","서울특별시","강서구","화곡동","123"
"201310","서울특별시","강서구","염창동","141"
"201310","서울특별시","강서구","방화2동","186"
"201310","서울특별시","강서구","과해동","339"
"201310","서울특별시","관악구","행운동","5"
"201310","서울특별시","관악구","조원동","5"
"201310","서울특별시","관악구","낙성대동","5"
"201310","서울특별시","관악구","난곡동","6"
"201310","서울특별시","관악구","미성동","6"
"201310","서울특별시","관악구","신림4동","6"
"201310","서울특별시","관악구","난향동","7"
"201310","서울특별시","관악구","봉천4동","7"
"201310","서울특별시","관악구","삼성동","10"
"201310","서울특별시","관악구","서원동","11"
"201310","서울특별시","관악구","봉천2동","13"
"201310","서울특별시","관악구","은천동","21"
"201310","서울특별시","관악구","대학동","22"
"201310","서울특별시","관악구","청룡동","25"
"201310","서울특별시","관악구","신사동","40"
"201310","서울특별시","관악구","보라매동","42"
"201310","서울특별시","관악구","남현동","44"
"201310","서울특별시","관악구","봉천동","93"
"201310","서울특별시","관악구","신림동","114"
"201310","서울특별시","광진구","자양4동","5"
"201310","서울특별시","광진구","구의3동","14"
"201310","서울특별시","광진구","중곡3동","15"
"201310","서울특별시","광진구","모진동","18"
"201310","서울특별시","광진구","중곡2동","20"
"201310","서울특별시","광진구","중곡1동","21"
"201310","서울특별시","광진구","능동","28"
"201310","서울특별시","광진구","군자동","38"
"201310","서울특별시","광진구","화양동","52"
"201310","서울특별시","광진구","중곡동","53"
"201310","서울특별시","광진구","광장동","60"
"201310","서울특별시","광진구","자양3동","83"
"201310","서울특별시","광진구","구의동","121"
"201310","서울특별시","광진구","자양동","131"
"201310","서울특별시","구로구","구로6동","5"
"201310","서울특별시","구로구","구로4동","5"
"201310","서울특별시","구로구","개봉3동","28"
"201310","서울특별시","구로구","개봉동","30"
"201310","서울특별시","구로구","구로본동","34"
"201310","서울특별시","구로구","오류2동","38"
"201310","서울특별시","구로구","가리봉동","40"
"201310","서울특별시","구로구","구로5동","46"
"201310","서울특별시","구로구","궁동","51"
"201310","서울특별시","구로구","개봉본동","56"
"201310","서울특별시","구로구","온수동","58"
"201310","서울특별시","구로구","구로3동","82"
"201310","서울특별시","구로구","고척2동","86"
"201310","서울특별시","구로구","구로동","87"
"201310","서울특별시","구로구","신도림동","94"
"201310","서울특별시","구로구","구로2동","101"
"201310","서울특별시","구로구","고척동","115"
"201310","서울특별시","구로구","오류동","172"
"201310","서울특별시","금천구","시흥4동","10"
"201310","서울특별시","금천구","시흥2동","12"
"201310","서울특별시","금천구","독산4동","13"
"201310","서울특별시","금천구","독산1동","15"
"201310","서울특별시","금천구","독산본동","27"
"201310","서울특별시","금천구","시흥3동","30"
"201310","서울특별시","금천구","독산동","37"
"201310","서울특별시","금천구","시흥동","48"
"201310","서울특별시","금천구","가산동","227"
"201310","서울특별시","노원구","중계본동","5"
"201310","서울특별시","노원구","상계9동","5"
"201310","서울특별시","노원구","하계1동","5"
"201310","서울특별시","노원구","상계6.7동","6"
"201310","서울특별시","노원구","중계2.3동","7"
"201310","서울특별시","노원구","중계동","8"
"201310","서울특별시","노원구","상계5동","9"
"201310","서울특별시","노원구","하계동","9"
"201310","서울특별시","노원구","상계3동","11"
"201310","서울특별시","노원구","월계동","11"
"201310","서울특별시","노원구","중계1동","12"
"201310","서울특별시","노원구","공릉2동","13"
"201310","서울특별시","노원구","월계1동","15"
"201310","서울특별시","노원구","공릉1동","22"
"201310","서울특별시","노원구","공릉동","25"
"201310","서울특별시","노원구","월계2동","25"
"201310","서울특별시","노원구","상계1동","41"
"201310","서울특별시","노원구","상계2동","43"
"201310","서울특별시","노원구","상계동","92"
"201310","서울특별시","도봉구","쌍문2동","5"
"201310","서울특별시","도봉구","쌍문3동","5"
"201310","서울특별시","도봉구","방학3동","7"
"201310","서울특별시","도봉구","창5동","7"
"201310","서울특별시","도봉구","도봉동","8"
"201310","서울특별시","도봉구","방학1동","8"
"201310","서울특별시","도봉구","창3동","9"
"201310","서울특별시","도봉구","창동","12"
"201310","서울특별시","도봉구","쌍문동","13"
"201310","서울특별시","도봉구","방학동","15"
"201310","서울특별시","도봉구","방학2동","16"
"201310","서울특별시","도봉구","쌍문1동","23"
"201310","서울특별시","도봉구","창4동","28"
"201310","서울특별시","도봉구","도봉1동","55"
"201310","서울특별시","도봉구","창1동","1538"
"201310","서울특별시","동대문구","이문2동","5"
"201310","서울특별시","동대문구","전농2동","5"
"201310","서울특별시","동대문구","청량리1동","5"
"201310","서울특별시","동대문구","이문1동","6"
"201310","서울특별시","동대문구","전농1동","7"
"201310","서울특별시","동대문구","답십리4동","9"
"201310","서울특별시","동대문구","전농4동","11"
"201310","서울특별시","동대문구","휘경2동","11"
"201310","서울특별시","동대문구","회기동","15"
"201310","서울특별시","동대문구","답십리동","19"
"201310","서울특별시","동대문구","제기동","20"
"201310","서울특별시","동대문구","신설동","26"
"201310","서울특별시","동대문구","전농동","36"
"201310","서울특별시","동대문구","장안2동","38"
"201310","서울특별시","동대문구","휘경1동","46"
"201310","서울특별시","동대문구","장안동","47"
"201310","서울특별시","동대문구","용두동","63"
"201310","서울특별시","동대문구","장안1동","69"
"201310","서울특별시","동작구","동작동","8"
"201310","서울특별시","동작구","노량진2동","9"
"201310","서울특별시","동작구","상도5동","15"
"201310","서울특별시","동작구","대방동","21"
"201310","서울특별시","동작구","본동","23"
"201310","서울특별시","동작구","사당동","24"
"201310","서울특별시","동작구","상도1동","25"
"201310","서울특별시","동작구","상도동","25"
"201310","서울특별시","동작구","사당5동","29"
"201310","서울특별시","동작구","사당2동","33"
"201310","서울특별시","동작구","신대방동","41"
"201310","서울특별시","동작구","흑석1동","41"
"201310","서울특별시","동작구","노량진동","74"
"201310","서울특별시","동작구","사당1동","206"
"201310","서울특별시","마포구","노고산동","5"
"201310","서울특별시","마포구","공덕2동","5"
"201310","서울특별시","마포구","성산2동","5"
"201310","서울특별시","마포구","아현2동","5"
"201310","서울특별시","마포구","망원1동","11"
"201310","서울특별시","마포구","성산1동","28"
"201310","서울특별시","마포구","연남동","30"
"201310","서울특별시","마포구","창전동","30"
"201310","서울특별시","마포구","신수동","32"
