"기준년월"	"발신지(시/도)"	"발신지(시/군/구)"	"발신지(읍/면/동)"	"통화량"
"201312"	"서울특별시"	"강남구"	"압구정1동"	"34"
"201312"	"서울특별시"	"강남구"	"대치3동"	"37"
"201312"	"서울특별시"	"강남구"	"일원동"	"42"
"201312"	"서울특별시"	"강남구"	"대치1동"	"54"
"201312"	"서울특별시"	"강남구"	"개포2동"	"67"
"201312"	"서울특별시"	"강남구"	"도곡2동"	"81"
"201312"	"서울특별시"	"강남구"	"대치4동"	"90"
"201312"	"서울특별시"	"강남구"	"세곡동"	"98"
"201312"	"서울특별시"	"강남구"	"개포4동"	"113"
"201312"	"서울특별시"	"강남구"	"일원1동"	"118"
"201312"	"서울특별시"	"강남구"	"수서동"	"123"
"201312"	"서울특별시"	"강남구"	"대치동"	"131"
"201312"	"서울특별시"	"강남구"	"대치2동"	"139"
"201312"	"서울특별시"	"강남구"	"개포동"	"152"
"201312"	"서울특별시"	"강남구"	"논현1동"	"172"
"201312"	"서울특별시"	"강남구"	"도곡동"	"218"
"201312"	"서울특별시"	"강남구"	"삼성동"	"258"
"201312"	"서울특별시"	"강남구"	"논현2동"	"301"
"201312"	"서울특별시"	"강남구"	"청담동"	"424"
"201312"	"서울특별시"	"강남구"	"삼성1동"	"427"
"201312"	"서울특별시"	"강남구"	"역삼2동"	"427"
"201312"	"서울특별시"	"강남구"	"삼성2동"	"511"
"201312"	"서울특별시"	"강남구"	"논현동"	"610"
"201312"	"서울특별시"	"강남구"	"역삼1동"	"726"
"201312"	"서울특별시"	"강남구"	"신사동"	"1387"
"201312"	"서울특별시"	"강남구"	"역삼동"	"1522"
"201312"	"서울특별시"	"강동구"	"암사3동"	"5"
"201312"	"서울특별시"	"강동구"	"고덕2동"	"10"
"201312"	"서울특별시"	"강동구"	"둔촌동"	"19"
"201312"	"서울특별시"	"강동구"	"고덕동"	"33"
"201312"	"서울특별시"	"강동구"	"천호2동"	"43"
"201312"	"서울특별시"	"강동구"	"성내3동"	"57"
"201312"	"서울특별시"	"강동구"	"길2동"	"66"
"201312"	"서울특별시"	"강동구"	"암사동"	"98"
"201312"	"서울특별시"	"강동구"	"명일동"	"150"
"201312"	"서울특별시"	"강동구"	"강일동"	"174"
"201312"	"서울특별시"	"강동구"	"성내동"	"192"
"201312"	"서울특별시"	"강동구"	"천호동"	"248"
