"기준년월","발신지(시/도)","발신지(시/군/구)","발신지(읍/면/동)","통화량"
"201311","서울특별시","강남구","개포2동","42"
"201311","서울특별시","강남구","개포4동","85"
"201311","서울특별시","강남구","개포동","126"
"201311","서울특별시","강남구","논현1동","91"
"201311","서울특별시","강남구","논현2동","164"
"201311","서울특별시","강남구","논현동","378"
"201311","서울특별시","강남구","대치1동","44"
"201311","서울특별시","강남구","대치2동","143"
"201311","서울특별시","강남구","대치3동","72"
"201311","서울특별시","강남구","대치4동","55"
"201311","서울특별시","강남구","대치동","188"
"201311","서울특별시","강남구","도곡2동","58"
"201311","서울특별시","강남구","도곡동","157"
"201311","서울특별시","강남구","삼성1동","304"
"201311","서울특별시","강남구","삼성2동","343"
"201311","서울특별시","강남구","삼성동","151"
"201311","서울특별시","강남구","세곡동","57"
"201311","서울특별시","강남구","수서동","82"
"201311","서울특별시","강남구","신사동","681"
"201311","서울특별시","강남구","압구정1동","25"
"201311","서울특별시","강남구","역삼1동","461"
"201311","서울특별시","강남구","역삼2동","287"
"201311","서울특별시","강남구","역삼동","856"
"201311","서울특별시","강남구","일원1동","96"
"201311","서울특별시","강남구","일원2동","8"
"201311","서울특별시","강남구","일원동","35"
"201311","서울특별시","강남구","청담동","316"
"201311","서울특별시","강동구","강일동","188"
"201311","서울특별시","강동구","고덕2동","14"
"201311","서울특별시","강동구","고덕동","43"
"201311","서울특별시","강동구","길2동","63"
"201311","서울특별시","강동구","길동","182"
"201311","서울특별시","강동구","둔촌동","22"
"201311","서울특별시","강동구","명일동","113"
"201311","서울특별시","강동구","상일동","421"
"201311","서울특별시","강동구","성내3동","36"
"201311","서울특별시","강동구","성내동","155"
"201311","서울특별시","강동구","암사동","104"
"201311","서울특별시","강동구","천호2동","44"
"201311","서울특별시","강동구","천호3동","6"
"201311","서울특별시","강동구","천호동","209"
"201311","서울특별시","강북구","미아1동","15"
"201311","서울특별시","강북구","미아5동","6"
"201311","서울특별시","강북구","미아8동","37"
"201311","서울특별시","강북구","미아동","86"
"201311","서울특별시","강북구","번1동","70"
"201311","서울특별시","강북구","번동","35"
"201311","서울특별시","강북구","수유1동","37"
"201311","서울특별시","강북구","수유2동","40"
"201311","서울특별시","강북구","수유5동","7"
"201311","서울특별시","강북구","수유동","5"
"201311","서울특별시","강북구","우이동","22"
"201311","서울특별시","강서구","가양2동","126"
"201311","서울특별시","강서구","개화동","25"
"201311","서울특별시","강서구","과해동","335"
"201311","서울특별시","강서구","내발산동","151"
"201311","서울특별시","강서구","등촌2동","23"
"201311","서울특별시","강서구","등촌3동","8"
"201311","서울특별시","강서구","등촌동","88"
"201311","서울특별시","강서구","방화1동","28"
"201311","서울특별시","강서구","방화2동","220"
"201311","서울특별시","강서구","방화3동","22"
"201311","서울특별시","강서구","방화동","127"
"201311","서울특별시","강서구","염창동","199"
"201311","서울특별시","강서구","외발산동","80"
"201311","서울특별시","강서구","화곡1동","17"
"201311","서울특별시","강서구","화곡2동","34"
"201311","서울특별시","강서구","화곡3동","25"
"201311","서울특별시","강서구","화곡4동","18"
"201311","서울특별시","강서구","화곡6동","131"
"201311","서울특별시","강서구","화곡8동","59"
"201311","서울특별시","강서구","화곡동","151"
"201311","서울특별시","강서구","화곡본동","49"
"201311","서울특별시","관악구","낙성대동","6"
"201311","서울특별시","관악구","난곡동","23"
"201311","서울특별시","관악구","난향동","12"
"201311","서울특별시","관악구","남현동","57"
"201311","서울특별시","관악구","대학동","49"
"201311","서울특별시","관악구","미성동","11"
"201311","서울특별시","관악구","보라매동","86"
"201311","서울특별시","관악구","봉천2동","30"
"201311","서울특별시","관악구","봉천4동","22"
"201311","서울특별시","관악구","봉천동","152"
"201311","서울특별시","관악구","삼성동","18"
"201311","서울특별시","관악구","서원동","26"
"201311","서울특별시","관악구","신림4동","8"
"201311","서울특별시","관악구","신림동","175"
"201311","서울특별시","관악구","신사동","68"
"201311","서울특별시","관악구","은천동","43"
"201311","서울특별시","관악구","조원동","19"
"201311","서울특별시","관악구","청룡동","24"
"201311","서울특별시","광진구","광장동","68"
"201311","서울특별시","광진구","구의3동","14"
"201311","서울특별시","광진구","구의동","128"
"201311","서울특별시","광진구","군자동","40"
"201311","서울특별시","광진구","능동","42"
"201311","서울특별시","광진구","모진동","18"
"201311","서울특별시","광진구","자양3동","94"
"201311","서울특별시","광진구","자양4동","5"
"201311","서울특별시","광진구","자양동","208"
"201311","서울특별시","광진구","중곡1동","16"
"201311","서울특별시","광진구","중곡2동","32"
"201311","서울특별시","광진구","중곡3동","19"
"201311","서울특별시","광진구","중곡동","69"
"201311","서울특별시","광진구","화양동","59"
"201311","서울특별시","구로구","가리봉동","68"
"201311","서울특별시","구로구","개봉3동","34"
"201311","서울특별시","구로구","개봉동","53"
"201311","서울특별시","구로구","개봉본동","68"
"201311","서울특별시","구로구","고척2동","93"
"201311","서울특별시","구로구","고척동","121"
"201311","서울특별시","구로구","구로2동","151"
"201311","서울특별시","구로구","구로3동","102"
"201311","서울특별시","구로구","구로5동","65"
"201311","서울특별시","구로구","구로동","93"
"201311","서울특별시","구로구","구로본동","35"
"201311","서울특별시","구로구","궁동","74"
"201311","서울특별시","구로구","신도림동","108"
"201311","서울특별시","구로구","오류2동","31"
"201311","서울특별시","구로구","오류동","178"
"201311","서울특별시","구로구","온수동","76"
"201311","서울특별시","금천구","가산동","237"
"201311","서울특별시","금천구","독산1동","32"
"201311","서울특별시","금천구","독산4동","18"
"201311","서울특별시","금천구","독산동","85"
"201311","서울특별시","금천구","독산본동","29"
"201311","서울특별시","금천구","시흥2동","25"
"201311","서울특별시","금천구","시흥3동","32"
