"일자","요일","시간대","업종","총_건수"
"20130901","일","00","피자전문","54"
"20130901","일","00","음식점-족발/보쌈전문","109"
"20130901","일","00","음식점-중국음식","246"
"20130901","일","00","치킨","1239"
"20130901","일","01","피자전문","23"
"20130901","일","01","음식점-족발/보쌈전문","58"
"20130901","일","01","음식점-중국음식","259"
"20130901","일","01","치킨","427"
"20130901","일","02","피자전문","12"
"20130901","일","02","음식점-족발/보쌈전문","40"
"20130901","일","02","치킨","132"
"20130901","일","02","음식점-중국음식","196"
"20130901","일","03","피자전문","11"
"20130901","일","03","음식점-족발/보쌈전문","23"
"20130901","일","03","치킨","43"
"20130901","일","03","음식점-중국음식","200"
"20130901","일","04","피자전문","8"
"20130901","일","04","음식점-족발/보쌈전문","12"
"20130901","일","04","치킨","26"
"20130901","일","04","음식점-중국음식","120"
"20130901","일","05","음식점-족발/보쌈전문","5"
"20130901","일","05","피자전문","7"
"20130901","일","05","치킨","13"
"20130901","일","05","음식점-중국음식","128"
"20130901","일","06","음식점-족발/보쌈전문","5"
"20130901","일","06","치킨","5"
"20130901","일","06","피자전문","10"
"20130901","일","06","음식점-중국음식","121"
"20130901","일","07","치킨","5"
"20130901","일","07","피자전문","5"
"20130901","일","07","음식점-중국음식","101"
"20130901","일","08","음식점-족발/보쌈전문","5"
"20130901","일","08","치킨","5"
"20130901","일","08","피자전문","6"
"20130901","일","08","음식점-중국음식","129"
"20130901","일","09","치킨","5"
"20130901","일","09","음식점-족발/보쌈전문","10"
"20130901","일","09","피자전문","25"
"20130901","일","09","음식점-중국음식","373"
"20130901","일","10","음식점-족발/보쌈전문","28"
"20130901","일","10","치킨","45"
"20130901","일","10","피자전문","151"
"20130901","일","10","음식점-중국음식","1187"
"20130901","일","11","음식점-족발/보쌈전문","64"
"20130901","일","11","치킨","273"
"20130901","일","11","피자전문","453"
"20130901","일","11","음식점-중국음식","3581"
"20130901","일","12","음식점-족발/보쌈전문","105"
"20130901","일","12","치킨","687"
"20130901","일","12","피자전문","747"
"20130901","일","12","음식점-중국음식","5031"
"20130901","일","13","음식점-족발/보쌈전문","111"
"20130901","일","13","피자전문","767"
"20130901","일","13","치킨","927"
"20130901","일","13","음식점-중국음식","4921"
"20130901","일","14","음식점-족발/보쌈전문","118"
"20130901","일","14","피자전문","756"
"20130901","일","14","치킨","1116"
"20130901","일","14","음식점-중국음식","3596"
"20130901","일","15","음식점-족발/보쌈전문","140"
"20130901","일","15","피자전문","793"
"20130901","일","15","치킨","1388"
