"일자"	"요일"	"시간대"	"업종"	"이용건수"
"20131001"	"화"	"06"	"치킨"	"5"
"20131001"	"화"	"07"	"치킨"	"5"
"20131001"	"화"	"07"	"피자"	"5"
"20131001"	"화"	"05"	"피자"	"5"
"20131001"	"화"	"03"	"피자"	"5"
"20131001"	"화"	"06"	"피자"	"5"
"20131001"	"화"	"08"	"치킨"	"5"
"20131001"	"화"	"08"	"피자"	"5"
"20131001"	"화"	"04"	"음식점-족발/보쌈전문"	"6"
"20131001"	"화"	"05"	"음식점-족발/보쌈전문"	"6"
"20131001"	"화"	"09"	"치킨"	"6"
"20131001"	"화"	"06"	"음식점-족발/보쌈전문"	"7"
"20131001"	"화"	"04"	"피자"	"8"
"20131001"	"화"	"05"	"치킨"	"9"
"20131001"	"화"	"08"	"음식점-족발/보쌈전문"	"9"
"20131001"	"화"	"07"	"음식점-족발/보쌈전문"	"10"
"20131001"	"화"	"03"	"음식점-족발/보쌈전문"	"11"
"20131001"	"화"	"09"	"피자"	"11"
"20131001"	"화"	"02"	"피자"	"13"
"20131001"	"화"	"09"	"음식점-족발/보쌈전문"	"16"
"20131001"	"화"	"02"	"음식점-족발/보쌈전문"	"20"
"20131001"	"화"	"10"	"치킨"	"22"
"20131001"	"화"	"03"	"치킨"	"24"
"20131001"	"화"	"01"	"피자"	"25"
"20131001"	"화"	"10"	"음식점-족발/보쌈전문"	"25"
"20131001"	"화"	"04"	"치킨"	"27"
"20131001"	"화"	"01"	"음식점-족발/보쌈전문"	"38"
"20131001"	"화"	"00"	"피자"	"39"
"20131001"	"화"	"06"	"음식점-중국음식"	"41"
"20131001"	"화"	"10"	"피자"	"42"
"20131001"	"화"	"07"	"음식점-중국음식"	"43"
"20131001"	"화"	"00"	"음식점-족발/보쌈전문"	"61"
"20131001"	"화"	"05"	"음식점-중국음식"	"61"
"20131001"	"화"	"11"	"음식점-족발/보쌈전문"	"61"
"20131001"	"화"	"12"	"음식점-족발/보쌈전문"	"62"
"20131001"	"화"	"08"	"음식점-중국음식"	"63"
"20131001"	"화"	"02"	"치킨"	"68"
"20131001"	"화"	"14"	"음식점-족발/보쌈전문"	"71"
"20131001"	"화"	"03"	"음식점-중국음식"	"72"
"20131001"	"화"	"15"	"음식점-족발/보쌈전문"	"72"
"20131001"	"화"	"13"	"음식점-족발/보쌈전문"	"75"
"20131001"	"화"	"04"	"음식점-중국음식"	"86"
"20131001"	"화"	"16"	"음식점-족발/보쌈전문"	"87"
"20131001"	"화"	"02"	"음식점-중국음식"	"89"
"20131001"	"화"	"23"	"음식점-족발/보쌈전문"	"99"
"20131001"	"화"	"23"	"피자"	"111"
"20131001"	"화"	"01"	"음식점-중국음식"	"117"
"20131001"	"화"	"23"	"음식점-중국음식"	"127"
"20131001"	"화"	"11"	"치킨"	"141"
"20131001"	"화"	"00"	"음식점-중국음식"	"142"
"20131001"	"화"	"09"	"음식점-중국음식"	"165"
"20131001"	"화"	"22"	"음식점-족발/보쌈전문"	"171"
"20131001"	"화"	"17"	"음식점-족발/보쌈전문"	"173"
