"일자","요일","시간대","업종","이용건수"
"20140201","토","00","음식점-족발/보쌈전문","18"
"20140201","토","00","음식점-중국음식","16"
"20140201","토","00","치킨","380"
"20140201","토","00","피자","32"
"20140202","일","00","음식점-족발/보쌈전문","59"
"20140202","일","00","음식점-중국음식","95"
"20140202","일","00","치킨","714"
"20140202","일","00","피자","61"
"20140203","월","00","음식점-족발/보쌈전문","42"
"20140203","월","00","음식점-중국음식","128"
"20140203","월","00","치킨","388"
"20140203","월","00","피자","36"
"20140204","화","00","음식점-족발/보쌈전문","41"
"20140204","화","00","음식점-중국음식","137"
"20140204","화","00","치킨","466"
"20140204","화","00","피자","26"
"20140205","수","00","음식점-족발/보쌈전문","41"
"20140205","수","00","음식점-중국음식","148"
"20140205","수","00","치킨","492"
"20140205","수","00","피자","37"
"20140206","목","00","음식점-족발/보쌈전문","53"
"20140206","목","00","음식점-중국음식","112"
"20140206","목","00","치킨","442"
"20140206","목","00","피자","46"
"20140207","금","00","음식점-족발/보쌈전문","53"
"20140207","금","00","음식점-중국음식","139"
"20140207","금","00","치킨","575"
"20140207","금","00","피자","37"
"20140208","토","00","음식점-족발/보쌈전문","109"
"20140208","토","00","음식점-중국음식","172"
"20140208","토","00","치킨","989"
"20140208","토","00","피자","44"
"20140209","일","00","음식점-족발/보쌈전문","136"
"20140209","일","00","음식점-중국음식","184"
"20140209","일","00","치킨","1032"
"20140209","일","00","피자","55"
"20140210","월","00","음식점-족발/보쌈전문","62"
"20140210","월","00","음식점-중국음식","131"
"20140210","월","00","치킨","534"
"20140210","월","00","피자","41"
"20140211","화","00","음식점-족발/보쌈전문","52"
"20140211","화","00","음식점-중국음식","152"
"20140211","화","00","치킨","551"
"20140211","화","00","피자","32"
"20140212","수","00","음식점-족발/보쌈전문","59"
"20140212","수","00","음식점-중국음식","123"
"20140212","수","00","치킨","615"
"20140212","수","00","피자","43"
"20140213","목","00","음식점-족발/보쌈전문","55"
"20140213","목","00","음식점-중국음식","147"
"20140213","목","00","치킨","560"
"20140213","목","00","피자","40"
"20140214","금","00","음식점-족발/보쌈전문","46"
"20140214","금","00","음식점-중국음식","118"
"20140214","금","00","치킨","477"
"20140214","금","00","피자","26"
"20140215","토","00","음식점-족발/보쌈전문","90"
"20140215","토","00","음식점-중국음식","131"
"20140215","토","00","치킨","826"
"20140215","토","00","피자","45"
"20140216","일","00","음식점-족발/보쌈전문","103"
"20140216","일","00","음식점-중국음식","141"
"20140216","일","00","치킨","956"
"20140216","일","00","피자","29"
"20140217","월","00","음식점-족발/보쌈전문","52"
"20140217","월","00","음식점-중국음식","101"
"20140217","월","00","치킨","524"
"20140217","월","00","피자","34"
"20140218","화","00","음식점-족발/보쌈전문","53"
"20140218","화","00","음식점-중국음식","130"
"20140218","화","00","치킨","521"
"20140218","화","00","피자","34"
"20140219","수","00","음식점-족발/보쌈전문","60"
"20140219","수","00","음식점-중국음식","117"
"20140219","수","00","치킨","527"
"20140219","수","00","피자","25"
"20140220","목","00","음식점-족발/보쌈전문","73"
"20140220","목","00","음식점-중국음식","152"
"20140220","목","00","치킨","882"
"20140220","목","00","피자","57"
"20140221","금","00","음식점-족발/보쌈전문","77"
"20140221","금","00","음식점-중국음식","145"
"20140221","금","00","치킨","909"
"20140221","금","00","피자","38"
"20140222","토","00","음식점-족발/보쌈전문","79"
"20140222","토","00","음식점-중국음식","155"
"20140222","토","00","치킨","1033"
"20140222","토","00","피자","44"
"20140223","일","00","음식점-족발/보쌈전문","98"
"20140223","일","00","음식점-중국음식","141"
"20140223","일","00","치킨","1049"
"20140223","일","00","피자","47"
"20140224","월","00","음식점-족발/보쌈전문","51"
"20140224","월","00","음식점-중국음식","153"
"20140224","월","00","치킨","545"
"20140224","월","00","피자","26"
"20140225","화","00","음식점-족발/보쌈전문","54"
"20140225","화","00","음식점-중국음식","125"
"20140225","화","00","치킨","586"
"20140225","화","00","피자","30"
"20140226","수","00","음식점-족발/보쌈전문","41"
"20140226","수","00","음식점-중국음식","130"
"20140226","수","00","치킨","593"
"20140226","수","00","피자","27"
"20140227","목","00","음식점-족발/보쌈전문","52"
"20140227","목","00","음식점-중국음식","149"
"20140227","목","00","치킨","580"
"20140227","목","00","피자","21"
"20140228","금","00","음식점-족발/보쌈전문","54"
"20140228","금","00","음식점-중국음식","139"
"20140228","금","00","치킨","683"
"20140228","금","00","피자","38"
"20140201","토","01","음식점-족발/보쌈전문","10"
"20140201","토","01","음식점-중국음식","18"
"20140201","토","01","치킨","122"
"20140201","토","01","피자","8"
"20140202","일","01","음식점-족발/보쌈전문","33"
"20140202","일","01","음식점-중국음식","82"
"20140202","일","01","치킨","204"
"20140202","일","01","피자","20"
"20140203","월","01","음식점-족발/보쌈전문","24"
"20140203","월","01","음식점-중국음식","113"
"20140203","월","01","치킨","133"
"20140203","월","01","피자","14"
"20140204","화","01","음식점-족발/보쌈전문","24"
"20140204","화","01","음식점-중국음식","118"
"20140204","화","01","치킨","166"
"20140204","화","01","피자","13"
"20140205","수","01","음식점-족발/보쌈전문","33"
"20140205","수","01","음식점-중국음식","89"
"20140205","수","01","치킨","145"
