"일자"	"요일"	"시간대"	"업종"	"총_건수"
"2013년08월01일"	"목"	"00시간대"	"족발/보쌈전문"	"115"
"2013년08월01일"	"목"	"01시간대"	"족발/보쌈전문"	"75"
"2013년08월01일"	"목"	"02시간대"	"족발/보쌈전문"	"38"
"2013년08월01일"	"목"	"03시간대"	"족발/보쌈전문"	"20"
"2013년08월01일"	"목"	"04시간대"	"족발/보쌈전문"	"22"
"2013년08월01일"	"목"	"05시간대"	"족발/보쌈전문"	"17"
"2013년08월01일"	"목"	"06시간대"	"족발/보쌈전문"	"9"
"2013년08월01일"	"목"	"07시간대"	"족발/보쌈전문"	"13"
"2013년08월01일"	"목"	"08시간대"	"족발/보쌈전문"	"9"
"2013년08월01일"	"목"	"09시간대"	"족발/보쌈전문"	"18"
"2013년08월01일"	"목"	"10시간대"	"족발/보쌈전문"	"34"
"2013년08월01일"	"목"	"11시간대"	"족발/보쌈전문"	"77"
"2013년08월01일"	"목"	"12시간대"	"족발/보쌈전문"	"91"
"2013년08월01일"	"목"	"13시간대"	"족발/보쌈전문"	"93"
"2013년08월01일"	"목"	"14시간대"	"족발/보쌈전문"	"77"
"2013년08월01일"	"목"	"15시간대"	"족발/보쌈전문"	"97"
"2013년08월01일"	"목"	"16시간대"	"족발/보쌈전문"	"121"
"2013년08월01일"	"목"	"17시간대"	"족발/보쌈전문"	"206"
"2013년08월01일"	"목"	"18시간대"	"족발/보쌈전문"	"373"
"2013년08월01일"	"목"	"19시간대"	"족발/보쌈전문"	"450"
"2013년08월01일"	"목"	"20시간대"	"족발/보쌈전문"	"366"
"2013년08월01일"	"목"	"21시간대"	"족발/보쌈전문"	"277"
"2013년08월01일"	"목"	"22시간대"	"족발/보쌈전문"	"213"
"2013년08월01일"	"목"	"23시간대"	"족발/보쌈전문"	"178"
"2013년08월01일"	"목"	"00시간대"	"중국음식"	"256"
"2013년08월01일"	"목"	"01시간대"	"중국음식"	"226"
"2013년08월01일"	"목"	"02시간대"	"중국음식"	"210"
"2013년08월01일"	"목"	"03시간대"	"중국음식"	"156"
"2013년08월01일"	"목"	"04시간대"	"중국음식"	"144"
"2013년08월01일"	"목"	"05시간대"	"중국음식"	"120"
"2013년08월01일"	"목"	"06시간대"	"중국음식"	"91"
"2013년08월01일"	"목"	"07시간대"	"중국음식"	"101"
"2013년08월01일"	"목"	"08시간대"	"중국음식"	"147"
"2013년08월01일"	"목"	"09시간대"	"중국음식"	"317"
"2013년08월01일"	"목"	"10시간대"	"중국음식"	"915"
"2013년08월01일"	"목"	"11시간대"	"중국음식"	"2992"
"2013년08월01일"	"목"	"12시간대"	"중국음식"	"4399"
"2013년08월01일"	"목"	"13시간대"	"중국음식"	"3449"
"2013년08월01일"	"목"	"14시간대"	"중국음식"	"2249"
"2013년08월01일"	"목"	"15시간대"	"중국음식"	"1703"
"2013년08월01일"	"목"	"16시간대"	"중국음식"	"1513"
"2013년08월01일"	"목"	"17시간대"	"중국음식"	"1779"
"2013년08월01일"	"목"	"18시간대"	"중국음식"	"2599"
"2013년08월01일"	"목"	"19시간대"	"중국음식"	"2942"
"2013년08월01일"	"목"	"20시간대"	"중국음식"	"1760"
"2013년08월01일"	"목"	"21시간대"	"중국음식"	"631"
"2013년08월01일"	"목"	"22시간대"	"중국음식"	"347"
"2013년08월01일"	"목"	"23시간대"	"중국음식"	"264"
"2013년08월01일"	"목"	"00시간대"	"치킨"	"864"
"2013년08월01일"	"목"	"01시간대"	"치킨"	"306"
"2013년08월01일"	"목"	"02시간대"	"치킨"	"125"
"2013년08월01일"	"목"	"03시간대"	"치킨"	"55"
"2013년08월01일"	"목"	"04시간대"	"치킨"	"25"
"2013년08월01일"	"목"	"05시간대"	"치킨"	"14"
"2013년08월01일"	"목"	"07시간대"	"치킨"	"8"
"2013년08월01일"	"목"	"08시간대"	"치킨"	"14"
"2013년08월01일"	"목"	"09시간대"	"치킨"	"18"
"2013년08월01일"	"목"	"10시간대"	"치킨"	"37"
"2013년08월01일"	"목"	"11시간대"	"치킨"	"239"
"2013년08월01일"	"목"	"12시간대"	"치킨"	"509"
"2013년08월01일"	"목"	"13시간대"	"치킨"	"510"
"2013년08월01일"	"목"	"14시간대"	"치킨"	"528"
"2013년08월01일"	"목"	"15시간대"	"치킨"	"625"
"2013년08월01일"	"목"	"16시간대"	"치킨"	"851"
"2013년08월01일"	"목"	"17시간대"	"치킨"	"1270"
"2013년08월01일"	"목"	"18시간대"	"치킨"	"2226"
"2013년08월01일"	"목"	"19시간대"	"치킨"	"3005"
"2013년08월01일"	"목"	"20시간대"	"치킨"	"3040"
"2013년08월01일"	"목"	"21시간대"	"치킨"	"2999"
"2013년08월01일"	"목"	"22시간대"	"치킨"	"2695"
"2013년08월01일"	"목"	"23시간대"	"치킨"	"1943"
"2013년08월01일"	"목"	"00시간대"	"피자전문"	"55"
"2013년08월01일"	"목"	"01시간대"	"피자전문"	"28"
"2013년08월01일"	"목"	"02시간대"	"피자전문"	"26"
"2013년08월01일"	"목"	"03시간대"	"피자전문"	"13"
"2013년08월01일"	"목"	"04시간대"	"피자전문"	"10"
"2013년08월01일"	"목"	"05시간대"	"피자전문"	"10"
"2013년08월01일"	"목"	"09시간대"	"피자전문"	"20"
"2013년08월01일"	"목"	"10시간대"	"피자전문"	"105"
"2013년08월01일"	"목"	"11시간대"	"피자전문"	"355"
"2013년08월01일"	"목"	"12시간대"	"피자전문"	"514"
"2013년08월01일"	"목"	"13시간대"	"피자전문"	"404"
"2013년08월01일"	"목"	"14시간대"	"피자전문"	"385"
"2013년08월01일"	"목"	"15시간대"	"피자전문"	"368"
"2013년08월01일"	"목"	"16시간대"	"피자전문"	"407"
"2013년08월01일"	"목"	"17시간대"	"피자전문"	"554"
"2013년08월01일"	"목"	"18시간대"	"피자전문"	"761"
"2013년08월01일"	"목"	"19시간대"	"피자전문"	"838"
"2013년08월01일"	"목"	"20시간대"	"피자전문"	"643"
"2013년08월01일"	"목"	"21시간대"	"피자전문"	"548"
"2013년08월01일"	"목"	"22시간대"	"피자전문"	"415"
"2013년08월01일"	"목"	"23시간대"	"피자전문"	"165"
"2013년08월02일"	"금"	"00시간대"	"족발/보쌈전문"	"79"
"2013년08월02일"	"금"	"01시간대"	"족발/보쌈전문"	"67"
"2013년08월02일"	"금"	"02시간대"	"족발/보쌈전문"	"30"
"2013년08월02일"	"금"	"03시간대"	"족발/보쌈전문"	"18"
"2013년08월02일"	"금"	"04시간대"	"족발/보쌈전문"	"17"
"2013년08월02일"	"금"	"05시간대"	"족발/보쌈전문"	"6"
"2013년08월02일"	"금"	"06시간대"	"족발/보쌈전문"	"6"
"2013년08월02일"	"금"	"07시간대"	"족발/보쌈전문"	"7"
"2013년08월02일"	"금"	"08시간대"	"족발/보쌈전문"	"14"
"2013년08월02일"	"금"	"09시간대"	"족발/보쌈전문"	"12"
"2013년08월02일"	"금"	"10시간대"	"족발/보쌈전문"	"31"
"2013년08월02일"	"금"	"11시간대"	"족발/보쌈전문"	"78"
"2013년08월02일"	"금"	"12시간대"	"족발/보쌈전문"	"94"
"2013년08월02일"	"금"	"13시간대"	"족발/보쌈전문"	"96"
"2013년08월02일"	"금"	"14시간대"	"족발/보쌈전문"	"68"
"2013년08월02일"	"금"	"15시간대"	"족발/보쌈전문"	"104"
"2013년08월02일"	"금"	"16시간대"	"족발/보쌈전문"	"134"
"2013년08월02일"	"금"	"17시간대"	"족발/보쌈전문"	"257"
"2013년08월02일"	"금"	"18시간대"	"족발/보쌈전문"	"436"
"2013년08월02일"	"금"	"19시간대"	"족발/보쌈전문"	"537"
"2013년08월02일"	"금"	"20시간대"	"족발/보쌈전문"	"474"
"2013년08월02일"	"금"	"21시간대"	"족발/보쌈전문"	"378"
"2013년08월02일"	"금"	"22시간대"	"족발/보쌈전문"	"261"
"2013년08월02일"	"금"	"23시간대"	"족발/보쌈전문"	"185"
"2013년08월02일"	"금"	"00시간대"	"중국음식"	"237"
"2013년08월02일"	"금"	"01시간대"	"중국음식"	"215"
"2013년08월02일"	"금"	"02시간대"	"중국음식"	"203"
"2013년08월02일"	"금"	"03시간대"	"중국음식"	"214"
"2013년08월02일"	"금"	"04시간대"	"중국음식"	"137"
"2013년08월02일"	"금"	"05시간대"	"중국음식"	"131"
"2013년08월02일"	"금"	"06시간대"	"중국음식"	"112"
"2013년08월02일"	"금"	"07시간대"	"중국음식"	"86"
"2013년08월02일"	"금"	"08시간대"	"중국음식"	"156"
"2013년08월02일"	"금"	"09시간대"	"중국음식"	"270"
"2013년08월02일"	"금"	"10시간대"	"중국음식"	"812"
"2013년08월02일"	"금"	"11시간대"	"중국음식"	"2990"
"2013년08월02일"	"금"	"12시간대"	"중국음식"	"4284"
"2013년08월02일"	"금"	"13시간대"	"중국음식"	"3466"
"2013년08월02일"	"금"	"14시간대"	"중국음식"	"2310"
"2013년08월02일"	"금"	"15시간대"	"중국음식"	"1766"
"2013년08월02일"	"금"	"16시간대"	"중국음식"	"1576"
"2013년08월02일"	"금"	"17시간대"	"중국음식"	"1914"
"2013년08월02일"	"금"	"18시간대"	"중국음식"	"2881"
"2013년08월02일"	"금"	"19시간대"	"중국음식"	"3116"
"2013년08월02일"	"금"	"20시간대"	"중국음식"	"1969"
"2013년08월02일"	"금"	"21시간대"	"중국음식"	"707"
"2013년08월02일"	"금"	"22시간대"	"중국음식"	"363"
"2013년08월02일"	"금"	"23시간대"	"중국음식"	"284"
"2013년08월02일"	"금"	"00시간대"	"치킨"	"964"
"2013년08월02일"	"금"	"01시간대"	"치킨"	"353"
"2013년08월02일"	"금"	"02시간대"	"치킨"	"110"
"2013년08월02일"	"금"	"03시간대"	"치킨"	"53"
"2013년08월02일"	"금"	"04시간대"	"치킨"	"30"
"2013년08월02일"	"금"	"05시간대"	"치킨"	"23"
"2013년08월02일"	"금"	"06시간대"	"치킨"	"11"
"2013년08월02일"	"금"	"09시간대"	"치킨"	"20"
"2013년08월02일"	"금"	"10시간대"	"치킨"	"39"
"2013년08월02일"	"금"	"11시간대"	"치킨"	"198"
"2013년08월02일"	"금"	"12시간대"	"치킨"	"514"
"2013년08월02일"	"금"	"13시간대"	"치킨"	"516"
"2013년08월02일"	"금"	"14시간대"	"치킨"	"569"
"2013년08월02일"	"금"	"15시간대"	"치킨"	"655"
"2013년08월02일"	"금"	"16시간대"	"치킨"	"904"
"2013년08월02일"	"금"	"17시간대"	"치킨"	"1437"
"2013년08월02일"	"금"	"18시간대"	"치킨"	"2559"
"2013년08월02일"	"금"	"19시간대"	"치킨"	"3572"
"2013년08월02일"	"금"	"20시간대"	"치킨"	"3679"
"2013년08월02일"	"금"	"21시간대"	"치킨"	"3632"
"2013년08월02일"	"금"	"22시간대"	"치킨"	"4630"
"2013년08월02일"	"금"	"23시간대"	"치킨"	"2989"
"2013년08월02일"	"금"	"00시간대"	"피자전문"	"59"
"2013년08월02일"	"금"	"01시간대"	"피자전문"	"25"
